material_id,material_name,category,supplier,unit,unit_cost_usd,usage_process,storage_condition,purity,hazard_level,country_of_origin,last_updated
MAT016,12-inch Silicon Wafer,矽材料,長春化工,公升,458.42,CMP,避光保存,高純度,低,韓國,2025-07-04
MAT017,Photoresist AR-450,光阻材料,Heraeus,公克,347.05,Lithography,密封容器，避光保存,99.999%,高,日本,2025-09-24
MAT018,Nitrogen Gas (N₂),化學氣體,GlobalWafers,公升,445.78,Packaging,常溫乾燥,高純度,中,法國,2025-07-18
MAT019,Ammonium Hydroxide (NH₄OH),化學溶液,Nitto Denko,公升,454.44,CMP,密封容器，避光保存,N/A,高,美國,2025-09-28
MAT020,Ultra Pure Water,清洗用水,Toppan Photomask,公斤,161.97,Cleaning,密封容器，避光保存,電子級,高,日本,2025-08-30
MAT021,Photoresist PR-950,光阻材料,JSR Corporation,公升,146.06,CMP,避光保存,高純度,低,德國,2025-09-18
MAT022,Copper Target,薄膜材料,Dow Chemical,卷,11.31,Lithography,高壓鋼瓶,99.9999%,高,日本,2025-08-10
MAT023,Argon Gas (Ar),化學氣體,Senju Metal,片,237.17,Packaging,乾燥室，低於25°C,99.999%,高,日本,2025-09-17
MAT024,Nitrogen Gas (N₂),化學氣體,Dow Chemical,卷,307.9,Packaging,高壓鋼瓶,高純度,高,法國,2025-07-17
MAT025,Gold Wire 25μm,封裝導線,Toppan Photomask,公克,384.22,Etching,密封容器，避光保存,99.999%,中,美國,2025-07-30
MAT026,12-inch Silicon Wafer,矽材料,JSR Corporation,公升,70.28,CMP,高壓鋼瓶,99.9999%,低,韓國,2025-07-06
MAT027,Photoresist AR-450,光阻材料,Shin-Etsu,公升,440.55,Cleaning,避光保存,99.999%,高,美國,2025-08-31
MAT028,Ultra Pure Water,清洗用水,欣興電子 Unimicron,公克,9.36,CVD,常溫乾燥,99.9999%,低,韓國,2025-08-22
MAT029,BGA Solder Ball Sn96.5Ag3Cu0.5,封裝材料,Toppan Photomask,公斤,38.41,CMP,乾燥室，低於25°C,高純度,高,日本,2025-09-30
MAT030,TiN Target,薄膜材料,台灣中油,公升,250.94,Oxidation,避光保存,99.9999%,低,日本,2025-07-22
MAT031,Dicing Tape UV Type,裝配輔材,Air Liquide,片,168.48,CMP,高壓鋼瓶,N/A,中,日本,2025-09-25
MAT032,BGA Solder Ball Sn96.5Ag3Cu0.5,封裝材料,Dow Chemical,公克,423.28,Packaging,高壓鋼瓶,高純度,低,韓國,2025-09-28
MAT033,Photoresist PR-950,光阻材料,Toppan Photomask,片,149.77,Packaging,常溫乾燥,高純度,中,台灣,2025-09-04
MAT034,Ultra Pure Water,清洗用水,Tanaka Precious Metals,公克,8.05,Etching,常溫乾燥,高純度,低,德國,2025-08-03
MAT035,Mold Compound,封裝材料,Toppan Photomask,片,190.72,Lithography,高壓鋼瓶,電子級,低,美國,2025-09-28
MAT036,Sulfuric Acid (H₂SO₄),化學溶液,Heraeus,公克,438.82,Packaging,避光保存,N/A,中,美國,2025-08-26
MAT037,Photoresist AR-450,光阻材料,台灣中油,片,162.34,Packaging,避光保存,99.9999%,高,日本,2025-09-14
MAT038,TiN Target,薄膜材料,JSR Corporation,公升,82.06,Cleaning,常溫乾燥,99.999%,高,美國,2025-07-09
MAT039,Photoresist AR-450,光阻材料,Nan Ya PCB,片,318.8,CVD,避光保存,電子級,中,法國,2025-07-09
MAT040,Ammonium Hydroxide (NH₄OH),化學溶液,Tanaka Precious Metals,公升,57.17,CVD,乾燥室，低於25°C,N/A,中,日本,2025-08-07
MAT041,12-inch Silicon Wafer,矽材料,Shin-Etsu,公升,303.07,Packaging,常溫乾燥,99.999%,高,韓國,2025-08-10
MAT042,UV Release Film,裝配輔材,Heraeus,公克,294.0,Cleaning,避光保存,99.9999%,高,美國,2025-08-10
MAT043,Cu Wire 20μm,封裝導線,GlobalWafers,卷,383.69,CMP,常溫乾燥,高純度,低,美國,2025-07-11
MAT044,BGA Solder Ball Sn96.5Ag3Cu0.5,封裝材料,Nan Ya PCB,公升,124.52,CMP,乾燥室，低於25°C,99.9999%,高,德國,2025-08-15
MAT045,ABF Substrate 4L,封裝基板,欣興電子 Unimicron,公升,102.69,CMP,密封容器，避光保存,99.999%,高,韓國,2025-09-09
MAT046,12-inch Silicon Wafer,矽材料,Shin-Etsu,卷,219.67,Lithography,常溫乾燥,99.9999%,中,德國,2025-07-05
MAT047,Ultra Pure Water,清洗用水,Shin-Etsu,公斤,94.98,CMP,密封容器，避光保存,99.999%,低,法國,2025-09-28
MAT048,Mold Compound,封裝材料,台灣中油,公斤,356.61,Etching,避光保存,99.9999%,中,法國,2025-07-04
MAT049,UV Release Film,裝配輔材,Nitto Denko,公克,363.68,Etching,高壓鋼瓶,電子級,低,韓國,2025-08-28
MAT050,Sulfuric Acid (H₂SO₄),化學溶液,Toppan Photomask,卷,449.11,CVD,密封容器，避光保存,99.999%,低,台灣,2025-08-23
MAT051,Ag Wire 18μm,封裝導線,Shin-Etsu,片,414.98,CMP,避光保存,99.999%,高,法國,2025-07-26
MAT052,TiN Target,薄膜材料,欣興電子 Unimicron,卷,305.49,Etching,高壓鋼瓶,99.9999%,高,韓國,2025-07-29
MAT053,Photoresist PR-950,光阻材料,Tanaka Precious Metals,公克,474.54,Etching,密封容器，避光保存,高純度,中,德國,2025-08-01
MAT054,Ultra Pure Water,清洗用水,Tanaka Precious Metals,公克,17.69,Cleaning,常溫乾燥,99.9999%,高,韓國,2025-07-14
MAT055,UV Release Film,裝配輔材,長春化工,公斤,5.33,Lithography,常溫乾燥,99.999%,低,台灣,2025-07-30
MAT056,Gold Wire 25μm,封裝導線,GlobalWafers,公克,390.48,Lithography,常溫乾燥,高純度,低,美國,2025-07-20
MAT057,8-inch Silicon Wafer,矽材料,欣興電子 Unimicron,卷,449.61,Lithography,避光保存,電子級,低,日本,2025-07-21
MAT058,Photoresist AR-450,光阻材料,欣興電子 Unimicron,卷,105.58,Packaging,密封容器，避光保存,高純度,中,台灣,2025-07-07
MAT059,Ag Wire 18μm,封裝導線,TOK,公升,157.92,CMP,乾燥室，低於25°C,電子級,中,德國,2025-09-30
MAT060,Hydrofluoric Acid (HF),化學溶液,Air Liquide,片,474.05,Etching,密封容器，避光保存,電子級,低,韓國,2025-09-25
MAT061,Hydrofluoric Acid (HF),化學溶液,Shin-Etsu,公升,99.1,CMP,常溫乾燥,N/A,高,美國,2025-09-05
MAT062,TiN Target,薄膜材料,Senju Metal,公升,152.72,CMP,高壓鋼瓶,99.9999%,低,法國,2025-09-16
MAT063,Die Attach Adhesive,封裝材料,長春化工,公克,207.72,Packaging,高壓鋼瓶,99.9999%,高,美國,2025-07-25
MAT064,BT Substrate 6L,封裝基板,台灣中油,公升,497.77,Oxidation,避光保存,N/A,中,德國,2025-07-12
MAT065,Mold Compound,封裝材料,Dow Chemical,公升,15.91,Packaging,高壓鋼瓶,99.9999%,低,法國,2025-07-08
MAT066,ABF Substrate 4L,封裝基板,Nan Ya PCB,公斤,447.39,Oxidation,乾燥室，低於25°C,99.999%,中,日本,2025-09-22
MAT067,UV Release Film,裝配輔材,GlobalWafers,公升,58.08,Lithography,密封容器，避光保存,99.999%,中,韓國,2025-08-08
MAT068,Mold Compound,封裝材料,欣興電子 Unimicron,公克,479.59,Packaging,避光保存,N/A,高,美國,2025-07-20
MAT069,Photoresist PR-950,光阻材料,Dow Chemical,公斤,334.46,Cleaning,密封容器，避光保存,高純度,中,法國,2025-08-29
MAT070,Photoresist PR-950,光阻材料,GlobalWafers,公克,41.82,Etching,密封容器，避光保存,99.999%,低,法國,2025-08-28
MAT071,TiN Target,薄膜材料,欣興電子 Unimicron,公升,130.48,Cleaning,高壓鋼瓶,高純度,低,韓國,2025-08-27
MAT072,Dicing Tape UV Type,裝配輔材,Nan Ya PCB,公升,413.05,Lithography,乾燥室，低於25°C,電子級,低,法國,2025-08-14
MAT073,CF₄ Gas,化學氣體,Toppan Photomask,卷,271.24,Lithography,避光保存,99.999%,低,法國,2025-08-21
MAT074,Nitrogen Gas (N₂),化學氣體,Senju Metal,卷,168.57,Packaging,密封容器，避光保存,99.9999%,中,德國,2025-09-07
MAT075,Si₃N₄ Target,薄膜材料,TOK,片,329.72,Packaging,避光保存,高純度,中,法國,2025-07-17
MAT076,Dicing Tape UV Type,裝配輔材,Air Liquide,公斤,373.04,CVD,常溫乾燥,電子級,中,日本,2025-09-26
MAT077,BT Substrate 6L,封裝基板,Heraeus,公升,388.09,CVD,密封容器，避光保存,高純度,低,美國,2025-09-18
MAT078,Cu Wire 20μm,封裝導線,Tanaka Precious Metals,公斤,126.86,Oxidation,密封容器，避光保存,N/A,低,台灣,2025-09-26
MAT079,Mold Compound,封裝材料,台灣中油,公克,166.58,Lithography,常溫乾燥,99.999%,低,美國,2025-09-10
MAT080,Ammonium Hydroxide (NH₄OH),化學溶液,TOK,公斤,225.1,CMP,避光保存,99.999%,低,台灣,2025-08-14
MAT081,Copper Target,薄膜材料,TOK,公斤,107.62,Lithography,常溫乾燥,N/A,高,美國,2025-09-14
MAT082,Ultra Pure Water,清洗用水,Nan Ya PCB,卷,306.62,CVD,高壓鋼瓶,N/A,低,台灣,2025-09-07
MAT083,Dicing Tape UV Type,裝配輔材,Tanaka Precious Metals,公克,260.73,Cleaning,乾燥室，低於25°C,N/A,中,日本,2025-08-10
MAT084,8-inch Silicon Wafer,矽材料,Dow Chemical,片,228.4,Packaging,高壓鋼瓶,高純度,低,日本,2025-08-07
MAT085,Die Attach Adhesive,封裝材料,Nan Ya PCB,片,216.71,Etching,常溫乾燥,99.9999%,低,德國,2025-07-21
MAT086,Ultra Pure Water,清洗用水,GlobalWafers,公升,208.47,CVD,常溫乾燥,N/A,高,法國,2025-07-05
MAT087,12-inch Silicon Wafer,矽材料,Senju Metal,公克,235.18,CVD,乾燥室，低於25°C,99.9999%,低,德國,2025-09-07
MAT088,Ag Wire 18μm,封裝導線,Dow Chemical,片,53.23,Oxidation,乾燥室，低於25°C,N/A,高,美國,2025-09-15
MAT089,Nitrogen Gas (N₂),化學氣體,Toppan Photomask,公斤,230.97,Oxidation,常溫乾燥,99.999%,低,法國,2025-09-19
MAT090,Gold Wire 25μm,封裝導線,Air Liquide,公斤,373.05,CMP,高壓鋼瓶,電子級,低,德國,2025-09-16
MAT091,Photoresist PR-950,光阻材料,Heraeus,公克,198.82,CMP,避光保存,99.999%,低,日本,2025-09-06
MAT092,UV Release Film,裝配輔材,Air Liquide,卷,327.49,CVD,避光保存,99.9999%,高,日本,2025-08-18
MAT093,Ammonium Hydroxide (NH₄OH),化學溶液,Heraeus,公克,111.56,Lithography,高壓鋼瓶,高純度,低,美國,2025-08-06
MAT094,Photoresist PR-950,光阻材料,Air Liquide,公升,220.99,CVD,密封容器，避光保存,99.9999%,低,台灣,2025-09-03
MAT095,Photoresist AR-450,光阻材料,Nitto Denko,片,237.31,Lithography,密封容器，避光保存,N/A,中,美國,2025-07-19
MAT096,Nitrogen Gas (N₂),化學氣體,Nitto Denko,卷,1.35,Packaging,常溫乾燥,99.9999%,低,韓國,2025-07-21
MAT097,BGA Solder Ball Sn96.5Ag3Cu0.5,封裝材料,JSR Corporation,片,327.87,Etching,常溫乾燥,99.9999%,高,台灣,2025-09-25
MAT098,CF₄ Gas,化學氣體,Nan Ya PCB,公升,53.31,Packaging,高壓鋼瓶,電子級,中,日本,2025-09-13
MAT099,UV Release Film,裝配輔材,Air Liquide,公升,269.65,Etching,乾燥室，低於25°C,99.9999%,低,台灣,2025-09-03
MAT100,8-inch Silicon Wafer,矽材料,台灣中油,片,42.69,Cleaning,避光保存,N/A,低,德國,2025-07-19
MAT101,Dicing Tape UV Type,裝配輔材,欣興電子 Unimicron,公克,351.68,Cleaning,乾燥室，低於25°C,高純度,高,德國,2025-08-10
MAT102,Gold Wire 25μm,封裝導線,Nan Ya PCB,公斤,385.7,Packaging,常溫乾燥,99.9999%,低,韓國,2025-08-19
MAT103,UV Release Film,裝配輔材,Shin-Etsu,片,261.52,Packaging,常溫乾燥,高純度,低,德國,2025-09-18
MAT104,TiN Target,薄膜材料,Nan Ya PCB,公斤,366.25,Packaging,乾燥室，低於25°C,N/A,高,台灣,2025-08-16
MAT105,CF₄ Gas,化學氣體,Toppan Photomask,公克,495.12,Cleaning,常溫乾燥,99.999%,低,台灣,2025-09-20
MAT106,12-inch Silicon Wafer,矽材料,Toppan Photomask,卷,469.01,CVD,密封容器，避光保存,N/A,中,美國,2025-08-19
MAT107,Dicing Tape UV Type,裝配輔材,Senju Metal,公斤,483.56,CMP,常溫乾燥,N/A,中,台灣,2025-09-30
MAT108,Copper Target,薄膜材料,GlobalWafers,公克,224.9,Etching,密封容器，避光保存,99.999%,高,台灣,2025-09-03
MAT109,ABF Substrate 4L,封裝基板,Tanaka Precious Metals,公克,212.58,Etching,乾燥室，低於25°C,電子級,中,法國,2025-08-26
MAT110,UV Release Film,裝配輔材,Heraeus,公克,91.83,Packaging,避光保存,99.999%,低,德國,2025-07-28
MAT111,BT Substrate 6L,封裝基板,Dow Chemical,片,7.55,Etching,高壓鋼瓶,99.9999%,中,法國,2025-09-06
MAT112,BGA Solder Ball Sn96.5Ag3Cu0.5,封裝材料,Senju Metal,片,268.35,CVD,高壓鋼瓶,電子級,低,法國,2025-07-19
MAT113,Ultra Pure Water,清洗用水,Shin-Etsu,公升,431.16,Packaging,避光保存,99.999%,低,韓國,2025-08-23
MAT114,Gold Wire 25μm,封裝導線,Toppan Photomask,公升,106.31,CVD,高壓鋼瓶,電子級,中,美國,2025-07-23
MAT115,BT Substrate 6L,封裝基板,Nitto Denko,公斤,226.84,CVD,常溫乾燥,99.999%,高,日本,2025-09-29
MAT116,Sulfuric Acid (H₂SO₄),化學溶液,TOK,卷,404.6,Packaging,乾燥室，低於25°C,99.999%,高,台灣,2025-09-02
MAT117,Cu Wire 20μm,封裝導線,JSR Corporation,公克,90.29,CVD,乾燥室，低於25°C,電子級,高,美國,2025-09-29
MAT118,12-inch Silicon Wafer,矽材料,TOK,公克,391.82,Oxidation,避光保存,99.9999%,中,法國,2025-07-03
MAT119,Mold Compound,封裝材料,Toppan Photomask,公克,298.58,CVD,常溫乾燥,99.999%,中,美國,2025-07-25
MAT120,Si₃N₄ Target,薄膜材料,長春化工,片,370.41,Packaging,常溫乾燥,N/A,低,德國,2025-08-24
MAT121,Photoresist AR-450,光阻材料,Tanaka Precious Metals,公斤,32.73,CVD,常溫乾燥,99.9999%,高,法國,2025-09-24
MAT122,Photoresist AR-450,光阻材料,Nitto Denko,公升,55.24,CMP,高壓鋼瓶,99.999%,低,韓國,2025-07-29
MAT123,Gold Wire 25μm,封裝導線,Dow Chemical,公升,432.85,Cleaning,避光保存,高純度,低,法國,2025-08-21
MAT124,Cu Wire 20μm,封裝導線,長春化工,公斤,325.97,Packaging,避光保存,N/A,低,德國,2025-09-13
MAT125,Ag Wire 18μm,封裝導線,JSR Corporation,卷,263.74,CMP,密封容器，避光保存,99.9999%,中,法國,2025-09-04
MAT126,BGA Solder Ball Sn96.5Ag3Cu0.5,封裝材料,Heraeus,公升,66.04,Cleaning,密封容器，避光保存,99.999%,低,台灣,2025-08-25
MAT127,CF₄ Gas,化學氣體,Senju Metal,卷,395.1,Lithography,高壓鋼瓶,99.999%,高,日本,2025-07-31
MAT128,Die Attach Adhesive,封裝材料,Nan Ya PCB,公斤,428.29,Packaging,乾燥室，低於25°C,99.9999%,高,美國,2025-09-25
MAT129,Photoresist AR-450,光阻材料,台灣中油,公克,266.15,Packaging,高壓鋼瓶,電子級,高,日本,2025-07-27
MAT130,Photoresist PR-950,光阻材料,Air Liquide,公升,480.12,Cleaning,避光保存,99.9999%,高,法國,2025-09-16
MAT131,ABF Substrate 4L,封裝基板,欣興電子 Unimicron,公升,156.16,Oxidation,乾燥室，低於25°C,99.9999%,低,韓國,2025-09-11
MAT132,Dicing Tape UV Type,裝配輔材,Dow Chemical,公升,360.94,CVD,乾燥室，低於25°C,99.9999%,中,美國,2025-07-22
MAT133,Copper Target,薄膜材料,Air Liquide,公斤,301.67,Oxidation,避光保存,99.9999%,中,韓國,2025-09-18
MAT134,UV Release Film,裝配輔材,Toppan Photomask,公升,337.26,CVD,密封容器，避光保存,N/A,低,德國,2025-07-02
MAT135,Photoresist PR-950,光阻材料,Heraeus,片,380.94,Etching,高壓鋼瓶,99.999%,中,法國,2025-07-11
MAT136,CF₄ Gas,化學氣體,Shin-Etsu,卷,357.0,Etching,乾燥室，低於25°C,N/A,高,法國,2025-07-29
MAT137,12-inch Silicon Wafer,矽材料,Nan Ya PCB,公克,307.59,Lithography,高壓鋼瓶,N/A,中,美國,2025-08-17
MAT138,Hydrofluoric Acid (HF),化學溶液,JSR Corporation,公斤,256.72,Lithography,高壓鋼瓶,99.9999%,高,美國,2025-08-17
MAT139,Si₃N₄ Target,薄膜材料,Dow Chemical,片,353.35,CVD,常溫乾燥,N/A,高,韓國,2025-09-09
MAT140,12-inch Silicon Wafer,矽材料,欣興電子 Unimicron,卷,248.15,Lithography,常溫乾燥,高純度,低,德國,2025-07-18
MAT141,Die Attach Adhesive,封裝材料,Tanaka Precious Metals,公斤,325.35,Lithography,高壓鋼瓶,99.999%,中,日本,2025-09-16
MAT142,Ammonium Hydroxide (NH₄OH),化學溶液,Dow Chemical,公升,102.81,Packaging,乾燥室，低於25°C,高純度,低,法國,2025-08-29
MAT143,Si₃N₄ Target,薄膜材料,Shin-Etsu,公斤,499.57,Oxidation,高壓鋼瓶,N/A,中,德國,2025-07-14
MAT144,Ag Wire 18μm,封裝導線,Heraeus,片,442.08,Oxidation,避光保存,99.9999%,低,台灣,2025-08-16
MAT145,TiN Target,薄膜材料,Dow Chemical,公斤,381.53,CMP,避光保存,電子級,高,台灣,2025-08-19
MAT146,Ultra Pure Water,清洗用水,Nan Ya PCB,公斤,463.12,Oxidation,避光保存,電子級,高,法國,2025-08-31
MAT147,BGA Solder Ball Sn96.5Ag3Cu0.5,封裝材料,Nitto Denko,公斤,137.29,Packaging,常溫乾燥,高純度,低,法國,2025-07-10
MAT148,Nitrogen Gas (N₂),化學氣體,Toppan Photomask,卷,122.48,CMP,常溫乾燥,99.9999%,高,日本,2025-07-21
MAT149,UV Release Film,裝配輔材,長春化工,公克,142.46,Etching,避光保存,電子級,中,德國,2025-07-05
MAT150,BGA Solder Ball Sn96.5Ag3Cu0.5,封裝材料,長春化工,卷,118.57,CMP,常溫乾燥,99.9999%,高,德國,2025-09-08
MAT151,BT Substrate 6L,封裝基板,台灣中油,公升,97.53,CMP,高壓鋼瓶,N/A,高,法國,2025-07-29
MAT152,UV Release Film,裝配輔材,Toppan Photomask,卷,27.51,CVD,密封容器，避光保存,高純度,高,美國,2025-08-13
MAT153,BGA Solder Ball Sn96.5Ag3Cu0.5,封裝材料,欣興電子 Unimicron,公升,16.04,Packaging,密封容器，避光保存,電子級,中,法國,2025-09-01
MAT154,12-inch Silicon Wafer,矽材料,TOK,公克,477.96,CMP,常溫乾燥,99.999%,中,台灣,2025-08-30
MAT155,BT Substrate 6L,封裝基板,GlobalWafers,公克,78.0,Oxidation,常溫乾燥,電子級,低,韓國,2025-09-06
MAT156,Copper Target,薄膜材料,Shin-Etsu,公克,72.02,Etching,乾燥室，低於25°C,高純度,高,台灣,2025-09-03
MAT157,Ultra Pure Water,清洗用水,JSR Corporation,卷,30.04,CVD,乾燥室，低於25°C,電子級,低,美國,2025-09-24
MAT158,Ammonium Hydroxide (NH₄OH),化學溶液,Toppan Photomask,卷,171.42,Packaging,避光保存,電子級,中,日本,2025-07-03
MAT159,Hydrofluoric Acid (HF),化學溶液,Shin-Etsu,公斤,38.27,Etching,常溫乾燥,99.999%,高,台灣,2025-07-02
MAT160,Ammonium Hydroxide (NH₄OH),化學溶液,GlobalWafers,公斤,441.77,Cleaning,避光保存,高純度,低,韓國,2025-07-09
MAT161,12-inch Silicon Wafer,矽材料,欣興電子 Unimicron,公克,439.49,Cleaning,避光保存,N/A,低,日本,2025-08-07
MAT162,Si₃N₄ Target,薄膜材料,TOK,公克,217.52,Oxidation,乾燥室，低於25°C,99.999%,高,法國,2025-09-23
MAT163,Ultra Pure Water,清洗用水,長春化工,卷,328.1,Packaging,密封容器，避光保存,N/A,高,德國,2025-07-16
MAT164,Photoresist PR-950,光阻材料,Shin-Etsu,卷,118.59,Oxidation,常溫乾燥,N/A,低,德國,2025-08-22
MAT165,Ultra Pure Water,清洗用水,Dow Chemical,卷,262.39,CVD,常溫乾燥,99.9999%,高,美國,2025-07-13
MAT166,Nitrogen Gas (N₂),化學氣體,Tanaka Precious Metals,公斤,485.28,Etching,常溫乾燥,電子級,低,美國,2025-08-22
MAT167,Copper Target,薄膜材料,Senju Metal,卷,412.94,Etching,密封容器，避光保存,N/A,中,美國,2025-07-24
MAT168,Cu Wire 20μm,封裝導線,GlobalWafers,公克,410.53,Packaging,常溫乾燥,高純度,高,美國,2025-08-29
MAT169,Photoresist PR-950,光阻材料,Senju Metal,公克,180.38,CVD,密封容器，避光保存,高純度,中,台灣,2025-08-05
MAT170,BT Substrate 6L,封裝基板,Dow Chemical,卷,270.48,CVD,避光保存,99.999%,低,台灣,2025-08-10
MAT171,Dicing Tape UV Type,裝配輔材,Senju Metal,片,275.4,Packaging,密封容器，避光保存,高純度,中,法國,2025-08-14
MAT172,Si₃N₄ Target,薄膜材料,Heraeus,公升,370.1,Cleaning,常溫乾燥,99.999%,中,台灣,2025-09-02
MAT173,8-inch Silicon Wafer,矽材料,TOK,片,182.11,CMP,避光保存,高純度,高,韓國,2025-08-14
MAT174,12-inch Silicon Wafer,矽材料,Shin-Etsu,公克,458.17,Cleaning,避光保存,99.999%,高,韓國,2025-07-25
MAT175,BT Substrate 6L,封裝基板,Dow Chemical,卷,370.15,Etching,避光保存,N/A,低,日本,2025-08-03
MAT176,Ultra Pure Water,清洗用水,長春化工,片,323.33,Oxidation,高壓鋼瓶,N/A,中,台灣,2025-07-22
MAT177,Die Attach Adhesive,封裝材料,Tanaka Precious Metals,公升,169.15,CVD,乾燥室，低於25°C,高純度,高,台灣,2025-09-15
MAT178,12-inch Silicon Wafer,矽材料,Nitto Denko,公克,279.37,Packaging,常溫乾燥,電子級,低,美國,2025-07-22
MAT179,CF₄ Gas,化學氣體,台灣中油,公克,74.31,Etching,常溫乾燥,電子級,中,美國,2025-07-18
MAT180,8-inch Silicon Wafer,矽材料,JSR Corporation,公克,22.5,Oxidation,乾燥室，低於25°C,99.999%,高,法國,2025-07-29
MAT181,Ultra Pure Water,清洗用水,Tanaka Precious Metals,片,66.2,Etching,密封容器，避光保存,N/A,高,韓國,2025-08-15
MAT182,Nitrogen Gas (N₂),化學氣體,欣興電子 Unimicron,片,446.24,Etching,避光保存,高純度,高,韓國,2025-08-10
MAT183,Sulfuric Acid (H₂SO₄),化學溶液,欣興電子 Unimicron,片,320.46,CMP,常溫乾燥,電子級,中,德國,2025-07-31
MAT184,Ultra Pure Water,清洗用水,Dow Chemical,公斤,213.09,Cleaning,密封容器，避光保存,99.999%,高,美國,2025-09-27
MAT185,Copper Target,薄膜材料,長春化工,公克,190.95,Oxidation,避光保存,高純度,高,日本,2025-09-24
MAT186,Dicing Tape UV Type,裝配輔材,Nan Ya PCB,公升,8.51,Etching,避光保存,高純度,中,台灣,2025-08-19
MAT187,Ultra Pure Water,清洗用水,TOK,片,324.73,Packaging,乾燥室，低於25°C,99.999%,低,美國,2025-08-10
MAT188,Hydrofluoric Acid (HF),化學溶液,Air Liquide,卷,498.31,Packaging,密封容器，避光保存,N/A,低,法國,2025-07-12
MAT189,Mold Compound,封裝材料,Nitto Denko,公克,164.75,CMP,常溫乾燥,電子級,高,美國,2025-07-17
MAT190,Si₃N₄ Target,薄膜材料,JSR Corporation,公升,442.8,CVD,高壓鋼瓶,99.999%,低,台灣,2025-08-08
MAT191,Ultra Pure Water,清洗用水,Nitto Denko,片,65.14,Cleaning,高壓鋼瓶,電子級,高,日本,2025-07-26
MAT192,Argon Gas (Ar),化學氣體,Dow Chemical,公升,58.33,CVD,乾燥室，低於25°C,99.999%,低,日本,2025-09-03
MAT193,Photoresist PR-950,光阻材料,TOK,公斤,313.72,CVD,高壓鋼瓶,99.999%,高,台灣,2025-08-22
MAT194,TiN Target,薄膜材料,JSR Corporation,片,454.66,Lithography,避光保存,99.999%,高,德國,2025-09-02
MAT195,Ag Wire 18μm,封裝導線,Nitto Denko,片,26.41,CMP,高壓鋼瓶,99.999%,高,法國,2025-08-10
MAT196,8-inch Silicon Wafer,矽材料,Shin-Etsu,卷,76.7,Packaging,避光保存,高純度,高,美國,2025-09-18
MAT197,BT Substrate 6L,封裝基板,長春化工,卷,443.03,Packaging,密封容器，避光保存,99.9999%,中,法國,2025-08-17
MAT198,Hydrofluoric Acid (HF),化學溶液,JSR Corporation,公克,421.6,Etching,避光保存,N/A,低,法國,2025-09-15
MAT199,Nitrogen Gas (N₂),化學氣體,Nitto Denko,片,219.87,Packaging,乾燥室，低於25°C,電子級,中,法國,2025-07-14
MAT200,Die Attach Adhesive,封裝材料,GlobalWafers,卷,48.14,CVD,避光保存,99.999%,中,日本,2025-09-23
MAT201,TiN Target,薄膜材料,GlobalWafers,公升,70.59,Etching,乾燥室，低於25°C,N/A,高,台灣,2025-09-13
MAT202,Ultra Pure Water,清洗用水,Tanaka Precious Metals,公克,464.24,CMP,乾燥室，低於25°C,電子級,高,德國,2025-09-12
MAT203,12-inch Silicon Wafer,矽材料,Dow Chemical,卷,249.34,Lithography,乾燥室，低於25°C,99.9999%,低,日本,2025-07-09
